name,year,selling_price,km_driven,fuel,combustible_estimado_l,seller_type,transmission,owner,tipo_carroceria,potencia_motor_hp,nivel_seguridad,calidad_auto,score_calidad,eficiencia_km_l
Tata Indigo Grand Petrol,2014,240000,60000,0,5555.6,0,0,1,4,88,2.5,Media,6.3,10.799913600691193
Hyundai Creta 1.6 VTVT S,2015,850000,25000,0,2258.4,0,0,0,4,283,1.7,Media,6.7,11.069783917817924
Maruti Celerio Green VXI,2017,365000,78000,2,6718.3,0,0,0,3,112,2.5,Media,7.0,11.610079930934909
Chevrolet Sail 1.2 Base,2015,260000,35000,0,3161.7,0,0,0,4,218,1.5,Media,6.3,11.069993990574691
Tata Indigo Grand Petrol,2014,250000,100000,0,9259.3,0,0,0,1,347,2.0,Media,6.800000000000001,10.799952480209088
Toyota Corolla Altis 1.8 VL CVT,2018,1650000,25000,0,2104.4,1,1,0,4,68,3.1,Media,6.8999999999999995,11.879870747006272
Maruti Ciaz VXi Plus,2015,585000,24000,0,2168.0,1,0,0,5,96,1.2,Baja,4.9,11.07011070110701
Hyundai Venue SX Opt Diesel,2019,1195000,5000,1,411.5,1,0,0,3,323,3.3,Alta,8.4,12.15066828675577
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,390000,33000,1,3133.9,0,0,1,2,127,2.3,Media,5.6000000000000005,10.53001053001053
Jaguar XF 2.2 Litre Luxury,2014,1964999,28000,1,2592.6,1,1,0,1,367,2.8,Media,7.3,10.799969142945306
Mercedes-Benz New C-Class 220 CDI AT,2013,1425000,59000,1,5603.0,1,1,0,4,361,2.5,Media,7.199999999999999,10.530073175084777
Maruti Vitara Brezza ZDi Plus AMT,2018,975000,4500,1,378.8,1,1,0,2,332,3.7,Alta,7.6,11.87961985216473
Audi Q5 2.0 TDI,2011,1190000,175900,1,17607.6,1,1,0,3,80,3.3,Media,6.7,9.990004316317954
Honda City V MT,2018,930000,14500,0,1220.5,1,0,0,3,107,2.3,Media,7.0,11.880376894715281
Tata Tigor 1.2 Revotron XT,2018,525000,15000,0,1262.6,0,0,0,4,324,2.4,Alta,7.5,11.880247109139871
Audi A6 2.0 TDI  Design Edition,2013,1735000,50000,1,4748.3,1,1,0,1,311,3.2,Media,7.1,10.530084451277299
Mercedes-Benz New C-Class C 220 CDI Avantgarde,2012,1375000,33800,1,3294.3,1,1,1,1,64,3.4,Media,6.2,10.260146313329082
Skoda Superb Ambition 2.0 TDI CR AT,2011,450000,130400,1,13053.1,1,1,1,1,65,2.1,Media,5.5,9.989964069837816
Toyota Corolla Altis G AT,2016,900000,50000,0,4409.2,0,1,0,2,289,3.2,Media,7.0,11.339925610087999
Toyota Innova 2.5 G (Diesel) 7 Seater,2015,1300000,80000,1,7226.7,0,0,0,2,105,2.0,Media,5.6000000000000005,11.07005963994631
Jeep Compass 1.4 Sport Plus BSIV,2019,1400000,10000,0,823.0,0,0,0,2,156,2.3,Media,6.3,12.15066828675577
Mercedes-Benz E-Class E 200 CGI Elegance,2010,850000,119000,0,12242.8,1,1,0,1,171,3.1,Media,6.3,9.719998693109419
Hyundai i10 Magna 1.1L,2014,229999,60000,0,5555.6,0,0,2,3,266,2.1,Media,7.1,10.799913600691193
BMW 3 Series 320d Sport Line,2013,1550000,75800,1,7198.5,1,1,1,1,190,2.2,Media,6.2,10.529971521844828
Audi Q7 35 TDI Quattro Premium,2009,1250000,78000,1,8254.0,1,1,3,5,218,2.8,Media,5.6000000000000005,9.449963653985947
Hyundai Elantra CRDi S,2012,625000,40000,1,3898.6,0,0,0,4,162,2.1,Media,6.1,10.260093366849638
Mahindra Scorpio 1.99 S10,2014,1050000,50000,1,4629.6,0,0,0,1,194,1.3,Media,5.8999999999999995,10.80006912044237
Honda City i DTEC V,2014,560000,74000,1,6851.9,0,0,1,1,75,1.7,Media,5.6000000000000005,10.799924108641399
Maruti Wagon R VXI BS IV with ABS,2014,290000,64000,0,5925.9,0,0,1,3,151,1.2,Media,6.2,10.80004725020672
Maruti Wagon R VXI BS IV,2012,275000,60000,0,5848.0,0,0,1,1,286,1.5,Media,6.1,10.259917920656635
Mahindra Scorpio LX,2009,411000,120000,1,12698.4,0,0,1,2,202,1.3,Media,5.0,9.45000945000945
Hyundai Santro Xing GLS,2009,150000,79000,0,8359.8,0,0,3,1,322,1.8,Media,6.1,9.449986841790475
Hyundai Grand i10 1.2 Kappa Asta,2019,500000,15000,0,1234.6,0,0,0,2,171,2.2,Media,6.3,12.149684108213187
Maruti Alto LXi,2006,100000,80000,0,8465.6,0,0,0,2,299,1.6,Media,5.4,9.45000945000945
Maruti Swift Dzire VDI Optional,2017,725000,18500,1,1593.5,1,0,0,2,243,1.4,Media,6.0,11.609664261060558
Maruti Eeco 5 Seater AC BSIV,2018,401000,10200,0,858.6,1,0,0,2,157,3.1,Media,6.6000000000000005,11.87980433263452
Hyundai i20 Sportz 1.4 CRDi,2018,750000,29000,1,2441.1,1,0,0,1,206,3.0,Media,7.1,11.879890213428373
Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,2018,310000,28000,0,2356.9,1,0,0,4,265,2.1,Media,7.1,11.88001188001188
Maruti Swift ZDi BSIV,2016,665000,46000,1,4056.4,1,0,0,1,78,2.4,Media,6.2,11.34010452618085
Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2014,465000,70000,1,6481.5,1,0,0,1,146,2.1,Media,6.1,10.799969142945306
Maruti Alto LXi,2012,160000,60000,0,5848.0,0,0,1,2,319,1.9,Media,6.0,10.259917920656635
Mahindra Jeep CL 500 MDI,1996,250000,35000,1,3703.7,0,0,1,4,251,1.7,Media,5.4,9.45000945000945
Honda City i DTEC VX,2014,675000,90000,1,8333.3,1,0,0,1,189,1.3,Media,5.8,10.800043200172802
Maruti Wagon R VXI BS IV,2013,300000,80000,0,7597.3,1,0,0,2,263,2.4,Media,6.2,10.530056730680636
Tata Indica DLS,2005,70000,80000,1,8465.6,0,0,0,2,82,1.0,Baja,4.2,9.45000945000945
Hyundai EON Magna Plus,2014,240000,73300,0,6787.0,1,0,1,1,243,2.0,Media,6.4,10.800058936201562
Toyota Etios GD,2014,525000,92000,1,8518.5,1,0,0,4,166,1.8,Media,6.2,10.800023478311909
Maruti Alto LXi,2009,151000,66764,0,7065.0,1,0,1,3,141,2.4,Media,6.3,9.449964614295824
Maruti Alto LXi,2009,140000,100000,0,10582.0,0,0,0,1,396,1.6,Media,6.3,9.45000945000945
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010,280000,350000,1,36008.2,0,0,1,1,218,1.8,Media,5.8,9.72000822034981
Toyota Corolla Altis Diesel D4DG,2011,350000,230000,1,23023.0,0,0,0,1,373,2.1,Media,6.6000000000000005,9.99000999000999
Mahindra Scorpio 1.99 S6 Plus,2017,570000,60000,1,5168.0,0,0,0,5,327,1.1,Media,5.8999999999999995,11.609907120743035
Hyundai EON Magna Plus,2018,300000,31000,0,2609.4,0,0,0,2,180,2.1,Media,6.2,11.880125699394496
Tata Indigo Classic Dicor,2007,100000,39000,1,4127.0,0,0,0,5,222,1.3,Baja,4.8,9.449963653985947
Toyota Innova 2.5 V Diesel 8-seater,2009,500000,120000,1,12698.4,0,0,3,2,63,1.2,Baja,4.4,9.45000945000945
Tata Indica Vista Quadrajet LS,2014,125000,166000,1,15370.4,0,0,2,1,343,1.0,Media,6.3,10.799979180763025
Maruti Swift 1.3 VXi,2006,130000,110000,0,11640.2,0,0,3,1,289,1.9,Media,5.8999999999999995,9.45000945000945
Ford EcoSport 1.5 Diesel Titanium BSIV,2017,925000,35000,1,3014.6,0,0,0,2,348,2.2,Media,6.800000000000001,11.610163869170039
Maruti Ciaz 1.3 Delta,2018,750000,60000,1,5050.5,0,0,0,1,389,3.4,Alta,8.0,11.88001188001188
Honda Civic 1.8 V AT,2007,200000,54000,0,5714.3,0,1,1,1,265,2.7,Media,6.2,9.449976375059062
Hyundai i10 Sportz 1.2,2010,248000,63000,0,6481.5,0,0,1,1,64,1.4,Media,5.0,9.719972228650775
Skoda Rapid 1.5 TDI Elegance,2014,450000,120000,1,11111.1,0,0,1,2,325,2.3,Media,6.4,10.8000108000108
Hyundai Getz GLS,2005,80000,120000,0,12698.4,0,0,3,1,212,2.3,Media,5.699999999999999,9.45000945000945
Nissan Terrano XL,2014,650000,76000,0,7037.0,0,0,1,5,76,1.9,Media,5.1,10.800056842404434
Hyundai Grand i10 CRDi Sportz,2015,450000,80000,1,7226.7,0,0,0,2,302,1.4,Media,6.0,11.07005963994631
Hyundai Elite i20 Diesel Era,2019,650000,25000,1,2057.6,0,0,0,1,248,3.4,Alta,7.6,12.150077760497668
Honda Amaze S i-VTEC,2016,495000,11958,0,1054.5,1,0,0,2,271,1.3,Media,5.8999999999999995,11.339971550497866
Honda Brio S MT,2015,371000,20000,0,1806.7,1,0,0,3,375,1.1,Media,7.1,11.069906459290419
Hyundai Creta 1.6 SX Option,2017,1025000,9000,0,775.2,1,0,0,2,348,2.2,Media,6.800000000000001,11.609907120743033
Mercedes-Benz S-Class S 350d Connoisseurs Edition,2017,8150000,6500,1,559.9,1,1,0,1,196,2.8,Media,6.8999999999999995,11.609215931416324
Mahindra XUV500 W8 2WD,2015,750000,70000,1,6323.4,0,0,0,1,237,1.4,Media,6.2,11.069993990574691
Renault Duster 85PS Diesel RxL Optional,2013,600000,120000,1,11396.0,0,0,0,2,218,2.0,Media,5.8,10.53001053001053
Hyundai Santro Xing XO,2007,80000,58000,0,6137.6,1,0,1,1,233,2.2,Media,5.8999999999999995,9.449947862356622
Mahindra Bolero 2011-2019 SLE,2013,325000,62200,1,5906.9,1,0,0,2,302,2.3,Media,6.3,10.530058067683557
Audi A6 2.0 TDI Premium Plus,2014,1470000,34000,1,3148.1,1,1,1,1,170,2.4,Media,6.3,10.800165178996856
Fiat Avventura MULTIJET Emotion,2015,350000,53000,1,4787.7,0,0,1,3,191,1.0,Media,6.4,11.070033627838002
Audi A8 4.2 TDI,2013,2800000,49000,1,4653.4,1,1,0,3,90,2.8,Media,6.7,10.529935101216315
Datsun RediGO 1.0 S,2017,210000,15000,0,1292.0,1,0,1,1,63,2.3,Media,6.2,11.609907120743035
Volkswagen Jetta 1.4 TSI Comfortline,2013,450000,50000,0,4748.3,0,0,0,1,77,1.3,Media,5.300000000000001,10.530084451277299
Audi A4 2.0 TDI 177 Bhp Premium Plus,2013,1150000,53000,1,5033.2,1,1,0,1,397,2.6,Media,7.199999999999999,10.53008026702694
Honda Civic 1.8 V AT,2009,210000,63500,0,6719.6,1,1,0,2,291,2.4,Media,5.8999999999999995,9.44996725995595
Mercedes-Benz E-Class Exclusive E 200 BSIV,2018,4500000,9800,0,824.9,1,1,0,3,349,3.0,Alta,8.299999999999999,11.880227906412898
BMW X1 sDrive 20d xLine,2017,2750000,13000,1,1119.7,0,1,0,2,107,3.3,Media,6.4,11.610252746271323
Volvo V40 D3 R Design,2018,1975000,21000,1,1767.7,1,1,0,2,122,3.2,Media,6.5,11.879843864909203
Maruti SX4 Zxi BSIII,2008,175000,29173,0,3087.1,1,0,0,5,329,2.2,Media,5.699999999999999,9.449969226782418
BMW 7 Series 730Ld,2012,2500000,48000,1,4678.4,1,1,0,2,149,2.5,Media,5.699999999999999,10.259917920656635
Mahindra Bolero Power Plus SLX,2017,628000,120000,1,10335.9,0,0,0,2,146,1.4,Media,5.6000000000000005,11.610019446782573
Hyundai Sonata CRDi M/T,2010,600000,100000,1,10288.1,0,0,0,2,348,2.4,Media,6.2,9.719967729707138
Nissan Micra Active XV Petrol,2017,399000,30000,0,2584.0,0,0,0,2,140,2.0,Media,5.8999999999999995,11.609907120743035
Mahindra Xylo D4,2018,750000,87000,1,7323.2,0,0,0,3,229,3.0,Alta,7.800000000000001,11.88005243609351
Hyundai Elite i20 Sportz Plus Dual Tone BSIV,2019,750000,15000,0,1234.6,0,0,0,1,219,3.1,Media,7.3,12.149684108213187
Renault KWID RXT,2017,315000,16000,0,1378.1,0,0,0,2,171,1.5,Media,5.8,11.610187939917278
Mahindra Xylo E4 BS III,2012,600000,60000,1,5848.0,0,0,0,1,158,1.8,Media,5.8,10.259917920656635
Maruti Wagon R LXI Minor,2010,100000,60000,0,6172.8,0,0,2,2,230,1.4,Media,5.2,9.720062208398133
Maruti SX4 ZXI MT BSIV,2011,250000,110000,0,11011.0,0,0,3,5,244,2.3,Media,5.6000000000000005,9.99000999000999
Renault KWID RXT,2017,350000,25000,0,2153.3,0,0,0,2,202,1.9,Media,6.1,11.610086843449588
Hyundai Creta 1.4 CRDi S,2016,780000,60000,1,5291.0,0,0,0,5,365,1.4,Media,6.1,11.34001134001134
Maruti Swift Dzire VDI,2014,434000,79350,1,7347.2,0,0,1,3,302,2.3,Media,7.4,10.800032665505226
Hyundai Verna 1.6 VTVT AT S Option,2016,690000,80000,0,7054.7,0,1,0,3,130,2.9,Media,7.199999999999999,11.339957758657349
Mahindra Scorpio LX BSIV,2014,555000,90000,1,8333.3,0,0,1,1,122,1.7,Media,5.8,10.800043200172802
Maruti SX4 Vxi BSIII,2007,120000,90000,0,9523.8,0,0,1,1,129,1.1,Baja,4.9,9.450009450009452
Maruti Ertiga VDI,2014,500000,120000,1,11111.1,0,0,1,2,200,2.4,Media,6.0,10.8000108000108
Chevrolet Beat Diesel,2013,165000,60000,1,5698.0,0,0,1,5,163,2.4,Media,5.6000000000000005,10.53001053001053
Maruti Zen LX,2004,95000,50000,0,5291.0,0,0,0,3,205,1.8,Media,6.0,9.45000945000945
Maruti Baleno Delta 1.2,2018,550000,20000,0,1683.5,0,0,0,3,222,2.7,Alta,7.6,11.88001188001188
Maruti Swift Vdi BSIII,2007,100000,110000,1,11640.2,0,0,2,2,60,1.5,Baja,4.5,9.45000945000945
Tata Nano Lx BSIV,2012,100000,50000,0,4873.3,0,0,1,4,275,1.4,Media,6.2,10.259988098413805
Toyota Innova 2.5 GX (Diesel) 8 Seater,2012,500000,100000,1,9746.6,0,0,0,3,184,1.9,Media,6.5,10.259988098413805
Maruti Ertiga SHVS VDI,2016,800000,70000,1,6172.8,0,0,1,3,95,1.2,Media,6.2,11.34007257646449
Hyundai Creta 1.6 CRDi SX,2016,840000,70000,1,6172.8,0,0,1,1,301,2.4,Media,7.0,11.34007257646449
Honda Amaze S i-Vtech,2016,490000,50000,0,4409.2,0,0,0,5,267,1.3,Media,5.699999999999999,11.339925610087999
Tata Indica Vista Aqua 1.4 TDI,2010,125000,81000,1,8333.3,0,0,1,1,314,2.1,Media,6.3,9.72003888015552
Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,2012,400000,120000,1,11695.9,0,0,3,2,361,1.5,Media,6.0,10.260005643003105
Chevrolet Cruze LTZ,2015,1000000,3600,1,325.2,1,0,0,1,312,1.3,Media,6.4,11.070110701107012
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2015,530000,14272,0,1289.3,1,0,0,1,224,1.8,Media,6.3,11.069572636314279
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,840000,49213,1,4238.8,1,0,0,1,181,2.1,Media,6.5,11.610125507219024
Hyundai i10 Sportz 1.1L,2015,229999,40000,0,3613.4,0,0,0,1,141,2.1,Media,6.1,11.069906459290419
Maruti 800 Std,1998,40000,40000,0,4232.8,0,0,2,3,359,1.4,Media,6.1,9.45000945000945
Chevrolet Spark 1.0 LS,2012,130000,80000,0,7797.3,0,0,0,5,383,1.5,Media,5.8999999999999995,10.259961781642364
Hyundai EON Era Plus,2015,200000,70000,0,6323.4,0,0,0,4,135,2.3,Media,6.4,11.069993990574691
Tata Indica Vista Aqua TDI BSIII,2011,120000,70000,1,7007.0,0,0,0,1,392,2.1,Media,6.7,9.99000999000999
Hyundai Santro LP zipPlus,2003,75000,57000,0,6031.7,0,0,0,1,393,2.1,Media,6.2,9.450072118971434
Tata Bolt Quadrajet XE,2016,250000,120000,1,10582.0,0,0,0,3,238,1.4,Media,6.8999999999999995,11.34001134001134
Maruti 800 AC BSIII,2005,100000,30000,0,3174.6,0,0,0,1,261,2.2,Media,5.8999999999999995,9.45000945000945
Hyundai EON Era Plus,2013,280000,3240,0,307.7,0,0,1,4,145,1.5,Media,5.8999999999999995,10.529736756581086
Hyundai i20 Magna 1.2,2015,540000,5000,0,451.7,0,0,0,4,324,1.6,Media,6.800000000000001,11.069293779056897
Hyundai i20 1.2 Asta,2018,700000,10000,0,841.8,0,0,0,3,396,2.4,Alta,8.2,11.879306248515087
Maruti Ciaz VDi Plus,2015,525000,100000,1,9033.4,0,0,0,2,128,1.2,Media,5.300000000000001,11.07002900347599
Hyundai i20 Asta 1.4 CRDi,2016,430000,80000,1,7054.7,0,0,0,5,165,1.6,Media,5.5,11.339957758657349
Hyundai Santro LE,2002,65000,70000,0,7407.4,0,0,0,2,124,1.0,Baja,4.2,9.45000945000945
Maruti Vitara Brezza VDi,2018,800000,35000,1,2946.1,0,0,0,5,86,2.7,Media,5.8999999999999995,11.880112691354674
Hyundai Santro Xing XL eRLX Euro III,2007,75000,114000,0,12063.5,0,0,1,4,65,2.1,Media,5.4,9.449993782898828
Hyundai Getz 1.3 GLS,2008,210000,53772,0,5690.2,0,0,0,1,368,2.4,Media,6.5,9.449931461108573
Mahindra Quanto C8,2012,195000,140000,1,13645.2,0,0,1,4,176,1.1,Media,5.699999999999999,10.260018174889337
Chevrolet Tavera Neo 3 LS 7 C BSIII,2015,400000,120000,1,10840.1,0,0,0,1,205,1.4,Media,6.0,11.07000857925665
Hyundai EON Magna Plus,2012,170000,60000,0,5848.0,0,0,0,3,223,1.7,Media,6.6000000000000005,10.259917920656635
Renault KWID RXT,2016,225000,25000,0,2204.6,0,0,0,1,156,1.3,Media,5.8999999999999995,11.339925610087999
Maruti Wagon R DUO LPG,2014,210000,90000,3,8333.3,0,0,0,1,369,1.2,Media,6.5,10.800043200172802
Maruti Wagon R LXI,2020,240000,120000,0,9661.8,0,0,0,3,221,2.7,Alta,7.800000000000001,12.420045954170032
Chevrolet Enjoy 1.3 TCDi LS 8,2015,300000,175000,1,15808.5,0,0,0,5,347,1.9,Media,6.2,11.069993990574691
Chevrolet Spark 1.0 LS,2011,99000,100000,0,10010.0,0,0,3,1,110,2.2,Media,5.699999999999999,9.99000999000999
Honda City i VTEC SV,2014,620000,36000,0,3333.3,0,0,0,2,190,2.5,Media,6.0,10.80010800108001
Honda Amaze VX i-DTEC,2013,500000,30000,1,2849.0,0,0,0,2,380,2.2,Media,6.5,10.53001053001053
Jaguar XJ 5.0 L V8 Supercharged,2010,2550000,40000,0,4115.2,0,1,1,5,313,2.3,Media,5.8,9.720062208398135
Honda Brio E MT,2013,260000,70000,0,6647.7,0,0,1,2,72,2.1,Media,5.300000000000001,10.529957729741113
Maruti Swift VVT ZXI,2017,550000,60000,0,5168.0,0,0,0,5,67,1.8,Media,5.300000000000001,11.609907120743035
Tata Indigo CR4,2011,150000,155500,1,15565.6,0,0,0,5,323,1.7,Media,5.6000000000000005,9.98997789998458
Hyundai i10 Asta AT,2011,350000,50000,0,5005.0,0,1,1,5,373,3.4,Media,6.7,9.99000999000999
Chevrolet Beat LT,2016,320000,40000,0,3527.3,0,0,0,3,195,2.1,Media,7.1,11.340118504238369
Maruti Swift VDI BSIV,2015,400000,100000,1,9033.4,0,0,3,1,376,2.0,Media,7.0,11.07002900347599
Maruti Alto LXi,2012,175000,80000,0,7797.3,0,0,3,3,307,1.0,Media,6.5,10.259961781642364
Chevrolet Beat LT,2011,120000,90000,0,9009.0,0,0,1,3,258,2.3,Media,6.8999999999999995,9.99000999000999
Renault Duster 110PS Diesel RxZ,2013,320000,90000,1,8547.0,0,0,1,5,135,2.2,Media,5.4,10.53001053001053
Hyundai Santro Xing XG,2006,70000,110000,0,11640.2,0,0,3,3,153,1.4,Media,5.699999999999999,9.45000945000945
Maruti Swift Dzire ZXI Plus,2019,810000,15000,0,1234.6,0,0,0,2,389,2.4,Media,7.199999999999999,12.149684108213187
Maruti 800 AC,2007,95000,100000,0,10582.0,0,0,1,1,77,1.1,Baja,4.699999999999999,9.45000945000945
Maruti Alto K10 LXI CNG,2020,282000,40000,2,3220.6,0,0,0,2,231,2.1,Media,6.6000000000000005,12.42004595417003
Maruti 800 Std BSII,2004,80000,60000,0,6349.2,0,0,1,3,207,2.0,Media,6.1,9.45000945000945
Tata Nano LX SE,2013,72000,25000,0,2374.2,0,0,0,1,61,1.3,Media,5.300000000000001,10.529862690590516
Hyundai i20 Magna 1.2,2016,600000,25000,0,2204.6,0,0,0,2,89,2.4,Media,5.8,11.339925610087999
Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,2015,640000,23000,0,2077.7,0,0,0,1,231,2.3,Media,6.6000000000000005,11.069933099099968
Maruti Alto K10 VXI,2018,380000,22155,0,1864.9,0,0,0,4,309,2.5,Alta,7.5,11.879993565338623
Maruti Ciaz 1.4 Delta,2018,650000,70000,0,5892.3,0,0,0,1,106,2.6,Media,6.6000000000000005,11.879911070379988
Maruti Alto LX,2009,150000,60000,0,6349.2,0,0,1,2,358,1.5,Media,5.699999999999999,9.45000945000945
Hyundai i20 Asta,2009,280000,110000,0,11640.2,0,0,1,2,70,1.1,Baja,4.4,9.45000945000945
Tata Nexon 1.2 Revotron XM,2018,430000,30000,0,2525.3,0,0,0,5,334,2.0,Media,6.5,11.879776660198788
Mahindra Bolero Power Plus SLX,2019,800000,15000,1,1234.6,0,0,0,5,63,2.7,Media,5.8999999999999995,12.149684108213187
Maruti Zen D,2003,75000,100000,1,10582.0,0,0,1,3,225,2.4,Media,6.3,9.45000945000945
Volkswagen Vento Celeste 1.5 TDI Highline AT,2016,650000,70000,1,6172.8,0,1,0,2,260,3.4,Media,6.8999999999999995,11.34007257646449
Maruti Eeco 7 Seater Standard BSIV,2017,390000,24000,0,2067.2,0,0,0,2,221,2.2,Media,6.3,11.609907120743035
Honda City 1.5 EXI,2005,100000,120000,0,12698.4,0,0,1,1,366,1.9,Media,6.1,9.45000945000945
Mercedes-Benz New C-Class 220 CDI AT,2013,1500000,35000,1,3323.8,0,1,0,1,298,3.3,Media,7.1,10.530116132137914
Maruti SX4 Zxi with Leather BSIII,2007,175000,78380,0,8294.2,0,0,0,4,163,1.8,Media,5.6000000000000005,9.449977092426032
Renault Duster 110PS Diesel RxZ,2012,434999,110000,1,10721.2,0,0,1,3,398,1.3,Media,7.0,10.26004551729284
Ford Figo Diesel Titanium,2010,170000,90000,1,9259.3,0,0,3,4,96,2.0,Media,5.6000000000000005,9.719957232188179
Ford Figo Diesel Titanium,2011,190000,90000,1,9009.0,0,0,3,4,283,2.4,Media,6.6000000000000005,9.99000999000999
Maruti Swift Dzire VDi,2009,250000,150000,1,15873.0,0,0,3,1,118,1.0,Baja,4.9,9.45000945000945
Mahindra Xylo E4,2009,229999,230000,1,24338.6,0,0,3,1,279,1.4,Media,5.699999999999999,9.45000945000945
Maruti Esteem Vxi - BSIII,2006,140000,70000,0,7407.4,0,0,3,3,333,1.4,Media,6.4,9.45000945000945
Maruti Swift VDI BSIV,2017,600000,80362,1,6921.8,0,0,0,4,84,1.1,Media,5.8,11.60998584183305
Hyundai i20 1.2 Sportz,2012,280000,110000,0,10721.2,0,0,3,4,266,1.3,Media,6.1,10.26004551729284
Chevrolet Beat Diesel LT,2012,150000,60000,1,5848.0,0,0,0,2,84,1.6,Media,5.0,10.259917920656635
Chevrolet Cruze LTZ AT,2015,650000,50000,1,4516.7,0,1,0,5,143,3.4,Media,6.2,11.07002900347599
Nissan Micra XL,2014,210000,40000,0,3703.7,0,0,1,1,307,2.3,Media,6.800000000000001,10.800010800010801
BMW 5 Series 520d Luxury Line,2017,2900000,40000,1,3445.3,0,1,0,2,307,3.4,Media,7.199999999999999,11.610019446782573
Chevrolet Enjoy 1.3 TCDi LS 8,2013,425000,20000,1,1899.3,1,0,0,1,110,1.2,Media,5.4,10.530195335123468
Hyundai EON Era Plus Option,2014,265000,55000,0,5092.6,1,0,0,1,69,1.0,Media,5.2,10.79998429093194
Fiat Linea T Jet Emotion,2018,890000,1136,0,95.6,1,0,0,1,236,2.2,Media,6.8999999999999995,11.88284518828452
Renault Scala RxL,2013,365000,55000,0,5223.2,1,0,0,1,184,2.4,Media,6.3,10.529943329759535
Ford Figo Petrol Titanium,2014,350000,43000,0,3981.5,1,0,0,1,225,1.2,Media,5.8999999999999995,10.7999497676755
Maruti Ciaz ZDi SHVS,2016,685000,60000,1,5291.0,0,0,0,1,185,1.9,Media,6.3,11.34001134001134
Skoda Rapid 1.5 TDI Ambition BSIV,2018,940000,2650,1,223.1,1,0,0,1,361,2.3,Media,7.4,11.878081577767817
Mahindra XUV500 W6 2WD,2017,1000000,40000,1,3445.3,0,0,0,1,306,1.0,Media,6.4,11.610019446782573
Mahindra XUV300 W8 Option,2019,1150000,15000,0,1234.6,1,0,0,3,129,2.1,Media,7.1,12.149684108213187
Maruti Ertiga SHVS ZDI,2016,450000,115962,1,10225.9,0,0,1,1,70,2.1,Media,6.0,11.340028750525626
Nissan Terrano XE D,2015,590000,65000,1,5871.7,1,0,0,3,142,1.3,Media,6.4,11.070047856668427
